Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
matchify,com.matchify.utils,FileUtilsTest,setUp,3,1,0,20,0,,
matchify,com.matchify.utils,FileUtilsTest,testGenerateTempFilePath,12,1,0,26,1,com.matchify.utils.FileUtils,com.matchify.utils.FileUtils
matchify,com.matchify.utils,FileUtilsTest,testIsImageFile,4,1,0,39,1,com.matchify.utils.FileUtils,com.matchify.utils.FileUtils
matchify,com.matchify.utils,FileUtilsTest,testGetFileExtention,4,1,0,46,1,com.matchify.utils.FileUtils,com.matchify.utils.FileUtils
matchify,com.matchify.utils,FileUtilsTest,testGenerateUniqueFileNameForImage,9,1,0,52,1,com.matchify.utils.FileUtils,com.matchify.utils.FileUtils
matchify,com.matchify.utils,FileUtilsTest,testGenerateImageURL,8,1,0,65,1,com.matchify.utils.FileUtils,com.matchify.utils.FileUtils
matchify,com.matchify.utils,TestUtil,generateUniqueEmail,5,1,0,7,0,,
matchify,com.matchify.utils,FileUtils,generateTempFilePath,11,1,1,12,0,,
matchify,com.matchify.utils,FileUtils,isImageFile,8,2,1,24,0,,
matchify,com.matchify.utils,FileUtils,getFileExtention,11,1,1,33,0,,
matchify,com.matchify.utils,FileUtils,generateUniqueFileNameForImage,5,1,3,45,0,,
matchify,com.matchify.utils,FileUtils,generateImageURL,3,1,3,64,0,,
matchify,com.matchify.controller,AuthControllerIntegrationTest,setUp,3,1,0,36,0,,
matchify,com.matchify.controller,AuthControllerIntegrationTest,truncateTable,4,1,1,40,0,,
matchify,com.matchify.controller,AuthControllerIntegrationTest,testUserRegister,5,1,0,45,1,,
matchify,com.matchify.controller,AuthControllerIntegrationTest,createUser,10,1,0,62,0,,
matchify,com.matchify.controller,AuthControllerIntegrationTest,testLogin,9,1,0,73,1,,
matchify,com.matchify.controller,AuthControllerIntegrationTest,asJsonString,8,1,1,100,0,,
matchify,com.matchify.controller,AuthControllerTest,setUp,3,1,0,29,0,,
matchify,com.matchify.controller,AuthControllerTest,testLoginAndGetToken,10,1,0,34,1,com.matchify.controller.AuthController,com.matchify.controller.AuthController; com.matchify.service.AuthService
matchify,com.matchify.controller,AuthControllerTest,testAddNewUser,10,1,0,52,1,com.matchify.controller.AuthController,com.matchify.service.AuthService; com.matchify.controller.AuthController
matchify,com.matchify.controller,EventControllerTest,testCreateEvent,8,1,0,40,1,com.matchify.controller.EventController,com.matchify.service.EventService; com.matchify.controller.EventController
matchify,com.matchify.controller,EventControllerTest,testJoinEvent,8,1,0,58,1,com.matchify.controller.EventController,com.matchify.controller.EventController; com.matchify.service.EventService
matchify,com.matchify.controller,EventControllerTest,testMatchedEvents,9,1,0,73,1,com.matchify.controller.EventController,com.matchify.service.EventService; com.matchify.controller.EventController
matchify,com.matchify.controller,EventControllerTest,testMyEvents,8,1,0,94,1,com.matchify.controller.EventController,com.matchify.controller.EventController; com.matchify.service.EventService
matchify,com.matchify.controller,EventControllerTest,testLeaveEvent,8,1,0,112,1,com.matchify.controller.EventController,com.matchify.service.EventService; com.matchify.controller.EventController
matchify,com.matchify.controller,EventControllerTest,testAttendeesList,11,1,0,127,1,com.matchify.controller.EventController,com.matchify.service.EventService; com.matchify.controller.EventController
matchify,com.matchify.controller,MatchControllerIntegrationTest,setUp,4,1,0,33,0,,
matchify,com.matchify.controller,MatchControllerIntegrationTest,truncateTable,4,1,1,39,0,,
matchify,com.matchify.controller,MatchControllerIntegrationTest,setUpUser,8,2,0,44,0,,
matchify,com.matchify.controller,MatchControllerIntegrationTest,findMatches,8,1,0,61,1,,
matchify,com.matchify.controller,MatchControllerIntegrationTest,createUser,10,1,0,97,0,,
matchify,com.matchify.controller,MatchControllerIntegrationTest,registerUserAndGetToken,6,1,1,108,0,,
matchify,com.matchify.controller,MatchControllerIntegrationTest,getFillInterestRequest,12,1,0,124,0,,
matchify,com.matchify.controller,MatchControllerIntegrationTest,asJsonString,3,1,1,144,0,,
matchify,com.matchify.controller,EventControllerIntegrationTest,setUp,4,1,0,43,0,,
matchify,com.matchify.controller,EventControllerIntegrationTest,truncateTable,4,1,1,49,0,,
matchify,com.matchify.controller,EventControllerIntegrationTest,userCreatesAnEventAfterRegistration,6,1,0,54,1,,
matchify,com.matchify.controller,EventControllerIntegrationTest,userShouldJoinToEvent,14,1,0,72,1,,
matchify,com.matchify.controller,EventControllerIntegrationTest,userShouldBeAbleToLeaveAJoinedEvent,15,1,0,114,1,,
matchify,com.matchify.controller,EventControllerIntegrationTest,createEventUsingToken,3,1,2,166,0,,
matchify,com.matchify.controller,EventControllerIntegrationTest,registerUserAndGetToken,6,1,1,197,0,,
matchify,com.matchify.controller,EventControllerIntegrationTest,createUser,10,1,0,214,0,,
matchify,com.matchify.controller,EventControllerIntegrationTest,createTestEvent,14,1,0,225,0,,
matchify,com.matchify.controller,EventControllerIntegrationTest,asJsonString,3,1,1,241,0,,
matchify,com.matchify.controller,InterestControllerIntegrationTest,setUp,4,1,0,41,0,,
matchify,com.matchify.controller,InterestControllerIntegrationTest,truncateTable,4,1,1,47,0,,
matchify,com.matchify.controller,InterestControllerIntegrationTest,userGetsInterests,5,1,0,52,1,,
matchify,com.matchify.controller,InterestControllerIntegrationTest,userAddsInterests,6,1,0,79,1,,
matchify,com.matchify.controller,InterestControllerIntegrationTest,getFillInterestRequest,12,1,0,97,0,,
matchify,com.matchify.controller,InterestControllerIntegrationTest,registerUserAndGetToken,6,1,1,118,0,,
matchify,com.matchify.controller,InterestControllerIntegrationTest,createUser,10,1,0,135,0,,
matchify,com.matchify.controller,InterestControllerIntegrationTest,asJsonString,3,1,1,147,0,,
matchify,com.matchify.controller,ChatControllerTest,setUp,3,1,0,29,0,,
matchify,com.matchify.controller,ChatControllerTest,testProcessMessage,8,1,0,34,1,com.matchify.controller.ChatController,com.matchify.controller.ChatController; com.matchify.service.ChatMessageService
matchify,com.matchify.controller,ChatControllerTest,testFindChatMessages,10,1,0,53,1,com.matchify.controller.ChatController,com.matchify.service.ChatMessageService; com.matchify.controller.ChatController
matchify,com.matchify.controller,InterestController,fetchAllInterests,3,1,0,20,0,com.matchify.service.InterestService,com.matchify.service.InterestService
matchify,com.matchify.controller,InterestController,fillMyInterest,4,1,1,25,0,com.matchify.service.InterestService,com.matchify.service.InterestService
matchify,com.matchify.controller,EventController,createEvent,3,1,3,33,0,com.matchify.service.EventService,com.matchify.service.EventService
matchify,com.matchify.controller,EventController,joinEvent,3,1,1,42,0,com.matchify.service.EventService,com.matchify.service.EventService
matchify,com.matchify.controller,EventController,getMatchedEvents,5,1,2,48,0,com.matchify.service.EventService,com.matchify.service.EventService
matchify,com.matchify.controller,EventController,getMyEvents,3,1,1,64,0,com.matchify.service.EventService,com.matchify.service.EventService
