Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
matchify,com.matchify.utils,FileUtilsTest,testGenerateTempFilePath,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
matchify,com.matchify.utils,FileUtilsTest,testGenerateTempFilePath,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
matchify,com.matchify.utils,FileUtilsTest,testGenerateUniqueFileNameForImage,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
matchify,com.matchify.controller,AuthControllerIntegrationTest,testUserRegister,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
matchify,com.matchify.controller,AuthControllerIntegrationTest,testLogin,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
matchify,com.matchify.controller,AuthControllerTest,testLoginAndGetToken,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
matchify,com.matchify.controller,AuthControllerTest,testLoginAndGetToken,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.controller.AuthController.loginAndGetToken; com.matchify.service.AuthService.loginAndGetToken
matchify,com.matchify.controller,AuthControllerTest,testAddNewUser,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
matchify,com.matchify.controller,AuthControllerTest,testAddNewUser,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.service.AuthService.addUser; com.matchify.controller.AuthController.addNewUser
matchify,com.matchify.controller,EventControllerTest,testCreateEvent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
matchify,com.matchify.controller,EventControllerTest,testCreateEvent,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.service.EventService.createEvent; com.matchify.controller.EventController.createEvent
matchify,com.matchify.controller,EventControllerTest,testJoinEvent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
matchify,com.matchify.controller,EventControllerTest,testJoinEvent,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.controller.EventController.joinEvent; com.matchify.service.EventService.joinEvent
matchify,com.matchify.controller,EventControllerTest,testMatchedEvents,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
matchify,com.matchify.controller,EventControllerTest,testMatchedEvents,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.service.EventService.getMatchedEvents; com.matchify.controller.EventController.getMatchedEvents
matchify,com.matchify.controller,EventControllerTest,testMyEvents,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
matchify,com.matchify.controller,EventControllerTest,testMyEvents,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.controller.EventController.getMyEvents; com.matchify.service.EventService.getMyEvents
matchify,com.matchify.controller,EventControllerTest,testLeaveEvent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
matchify,com.matchify.controller,EventControllerTest,testLeaveEvent,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.service.EventService.leaveEvent; com.matchify.controller.EventController.leaveEvent
matchify,com.matchify.controller,EventControllerTest,testAttendeesList,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
matchify,com.matchify.controller,EventControllerTest,testAttendeesList,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.service.EventService.findAllEventAttendees; com.matchify.controller.EventController.attendeesList
matchify,com.matchify.controller,MatchControllerIntegrationTest,findMatches,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
matchify,com.matchify.controller,EventControllerIntegrationTest,userCreatesAnEventAfterRegistration,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
matchify,com.matchify.controller,EventControllerIntegrationTest,userShouldJoinToEvent,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
matchify,com.matchify.controller,EventControllerIntegrationTest,userShouldBeAbleToLeaveAJoinedEvent,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
matchify,com.matchify.controller,InterestControllerIntegrationTest,userGetsInterests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
matchify,com.matchify.controller,InterestControllerIntegrationTest,userAddsInterests,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
matchify,com.matchify.controller,ChatControllerTest,testProcessMessage,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
matchify,com.matchify.controller,ChatControllerTest,testFindChatMessages,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
matchify,com.matchify.controller,ChatControllerTest,testFindChatMessages,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.service.ChatMessageService.findChatMessages; com.matchify.controller.ChatController.findChatMessages
matchify,com.matchify.service.implementation,UserServiceImplTest,connect_userExists,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
matchify,com.matchify.service.implementation,UserServiceImplTest,disconnect_userExists,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
matchify,com.matchify.service.implementation,UserServiceImplTest,testFetchLoggedInUserDetails,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
matchify,com.matchify.service.implementation,UserServiceImplTest,testFetchLoggedInUserDetails,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.matchify.service.implementation.UserServiceImpl.fetchLoggedInUserDetails; com.matchify.repository.EventAttendeesRepository.fetchJoinedEvents; com.matchify.service.AuthService.getUserIdFromToken; com.matchify.repository.UserRepository.findByUserId
matchify,com.matchify.service.implementation,AuthServiceImplTest,testAddNewUser,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
